Goals_per90,Assists_per90,G_A_per90
1.6363636363636362,0.0,1.6363636363636362
1.6071428571428572,0.0,1.6071428571428572
1.125,1.125,2.25
1.2162162162162162,0.0,1.2162162162162162
4.090909090909091,0.0,4.090909090909091
2.8125,0.0,2.8125
1.3043478260869565,0.0,1.3043478260869565
1.267605633802817,1.267605633802817,2.535211267605634
1.5517241379310345,1.5517241379310345,3.103448275862069
2.903225806451613,0.0,2.903225806451613
1.0843373493975903,1.0843373493975903,2.1686746987951806
1.5,1.5,3.0
1.0588235294117647,1.0588235294117647,2.1176470588235294
2.3076923076923075,2.3076923076923075,4.615384615384615
4.090909090909091,4.090909090909091,8.181818181818182
1.6981132075471697,1.6981132075471697,3.3962264150943393
1.0227272727272727,1.0227272727272727,2.0454545454545454
1.0843373493975903,1.0843373493975903,2.1686746987951806
2.903225806451613,2.903225806451613,5.806451612903226
3.5999999999999996,3.5999999999999996,7.199999999999999
0.989010989010989,0.989010989010989,1.978021978021978
0.989010989010989,0.989010989010989,1.978021978021978
2.3076923076923075,0.0,2.3076923076923075
2.8125,2.8125,5.625
1.7647058823529411,1.7647058823529411,3.5294117647058822
5.0,5.0,10.0
2.1951219512195124,0.0,2.1951219512195124
1.1111111111111112,1.1111111111111112,2.2222222222222223
1.0465116279069766,0.0,1.0465116279069766
1.0843373493975903,1.0843373493975903,2.1686746987951806
0.7317073170731707,0.7317073170731707,1.4634146341463414
1.7999999999999998,0.0,1.7999999999999998
2.0454545454545454,2.0454545454545454,4.090909090909091
1.1111111111111112,0.0,1.1111111111111112
1.0227272727272727,1.0227272727272727,2.0454545454545454
1.40625,0.0,1.40625
1.0112359550561798,1.0112359550561798,2.0224719101123596
1.875,0.0,1.875
4.285714285714286,0.0,4.285714285714286
0.989010989010989,0.989010989010989,1.978021978021978
2.25,2.25,4.5
1.3636363636363638,0.0,1.3636363636363638
2.25,2.25,4.5
1.0227272727272727,0.0,1.0227272727272727
0.989010989010989,0.0,0.989010989010989
0.989010989010989,0.989010989010989,1.978021978021978
4.285714285714286,0.0,4.285714285714286
3.5999999999999996,3.5999999999999996,7.199999999999999
1.3432835820895521,1.3432835820895521,2.6865671641791042
1.267605633802817,1.267605633802817,2.535211267605634
2.0,2.0,4.0
1.0975609756097562,1.0975609756097562,2.1951219512195124
2.903225806451613,0.0,2.903225806451613
1.0,0.0,1.0
1.3043478260869565,0.0,1.3043478260869565
4.5,4.5,9.0
1.4285714285714286,0.0,1.4285714285714286
18.0,0.0,18.0
2.25,0.0,2.25
1.3636363636363638,0.0,1.3636363636363638
2.7272727272727275,2.7272727272727275,5.454545454545455
1.8367346938775513,1.8367346938775513,3.6734693877551026
10.0,10.0,20.0
4.090909090909091,4.090909090909091,8.181818181818182
1.7307692307692308,0.0,1.7307692307692308
1.2328767123287672,0.0,1.2328767123287672
22.5,22.5,45.0
1.1842105263157894,1.1842105263157894,2.3684210526315788
5.294117647058823,5.294117647058823,10.588235294117647
2.093023255813953,2.093023255813953,4.186046511627906
1.6981132075471697,0.0,1.6981132075471697
2.142857142857143,0.0,2.142857142857143
1.5789473684210527,0.0,1.5789473684210527
1.2328767123287672,0.0,1.2328767123287672
1.0843373493975903,0.0,1.0843373493975903
2.25,0.0,2.25
1.0975609756097562,1.0975609756097562,2.1951219512195124
1.168831168831169,0.0,1.168831168831169
4.285714285714286,0.0,4.285714285714286
