Minutes_num,is_starter,is_sub,days_since_last,roll_goals_last3,roll_assists_last3,roll_ga_last3,roll_goals_last5,roll_assists_last5,roll_ga_last5,roll_goals_last10,roll_assists_last10,roll_ga_last10,T_Champions League _x_home,T_Copa del Rey _x_home,T_Coupe de France _x_home,T_Coupe de la Ligue _x_home,T_LaLiga _x_home,T_Ligue 1 _x_home,T_Champions League ,T_Copa del Rey ,T_Coupe de France ,T_Coupe de la Ligue ,T_LaLiga ,T_Ligue 1 
55,0,1,999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,False,False,False,False,True,False
56,0,1,8,1.6363636363636365,1.6363636363636365,3.272727272727273,1.6363636363636365,1.6363636363636365,3.272727272727273,1.6363636363636365,1.6363636363636365,3.272727272727273,0,0,0,0,1,0,False,False,False,False,True,False
80,1,0,3,1.6217532467532467,1.6217532467532467,3.2435064935064934,1.6217532467532467,1.6217532467532467,3.2435064935064934,1.6217532467532467,1.6217532467532467,3.2435064935064934,0,0,0,0,0,0,False,False,False,False,True,False
74,1,0,10,1.4561688311688312,1.4561688311688312,2.9123376623376624,1.4561688311688312,1.4561688311688312,2.9123376623376624,1.4561688311688312,1.4561688311688312,2.9123376623376624,0,0,0,0,0,0,False,False,False,False,True,False
22,0,1,14,1.316119691119691,1.316119691119691,2.632239382239382,1.3961806774306775,1.3961806774306775,2.792361354861355,1.3961806774306775,1.3961806774306775,2.792361354861355,0,0,0,0,1,0,False,False,False,False,True,False
32,0,1,0,2.144041769041769,2.144041769041769,4.288083538083538,1.9351263601263604,1.9351263601263604,3.870252720252721,1.9351263601263604,1.9351263601263604,3.870252720252721,0,0,0,0,1,0,False,False,False,False,True,False
69,1,0,0,2.706541769041769,2.706541769041769,5.413083538083538,2.170353632853633,2.170353632853633,4.340707265707266,2.0813553001053005,2.0813553001053005,4.162710600210601,0,0,0,0,1,0,False,False,False,False,True,False
71,1,0,0,2.7359189723320156,2.7359189723320156,5.471837944664031,2.1097946266424525,2.1097946266424525,4.219589253284905,1.9703542323883938,1.9703542323883938,3.9407084647767876,0,0,0,0,1,0,False,False,False,False,True,False
58,0,1,14,1.7948178199632576,1.7948178199632576,3.5896356399265152,2.138315753403016,2.138315753403016,4.276631506806032,1.8825106575651969,1.8825106575651969,3.7650213151303937,0,0,0,0,0,0,False,False,False,False,True,False
83,1,0,4,1.3745591992736026,1.3745591992736026,2.749118398547205,2.20541733774598,2.20541733774598,4.41083467549196,1.8457565998280678,1.8457565998280678,3.6915131996561357,1,0,0,0,0,0,True,False,False,False,False,False
31,0,1,0,1.3012223737104807,1.3012223737104807,2.6024447474209613,1.6041029894436796,1.6041029894436796,3.208205978887359,1.76961467478502,1.76961467478502,3.53922934957004,1,0,0,0,0,0,True,False,False,False,False,False
60,1,0,4,1.8464290979267457,1.8464290979267457,3.6928581958534914,1.622248150734002,1.622248150734002,3.244496301468004,1.8963008917938176,1.8963008917938176,3.792601783587635,0,0,0,0,1,0,False,False,False,False,True,False
85,1,0,0,1.8291877186164012,1.8291877186164012,3.6583754372328023,1.6613785855166108,1.6613785855166108,3.3227571710332215,1.8855866060795319,1.8855866060795319,3.7711732121590638,0,0,0,0,1,0,False,False,False,False,True,False
39,0,1,13,1.8206831119544595,1.8206831119544595,3.641366223908919,1.6196221646384008,1.6196221646384008,3.2392443292768016,1.8789689590207082,1.8789689590207082,3.7579379180414163,0,0,0,0,0,0,False,False,False,False,True,False
22,0,1,7,1.6221719457013577,1.6221719457013577,3.2443438914027154,1.7708157985906552,1.7708157985906552,3.5416315971813104,1.9881165681683175,1.9881165681683175,3.976233136336635,0,0,0,0,1,0,False,False,False,False,True,False
53,0,1,0,2.485808309337721,2.485808309337721,4.971616618675442,2.3721301468929554,2.3721301468929554,4.744260293785911,1.988116568168317,1.988116568168317,3.976233136336634,0,0,0,0,1,0,False,False,False,False,True,False
88,1,0,39,2.6989048687161894,2.6989048687161894,5.397809737432379,2.131107627112067,2.131107627112067,4.262215254224134,1.8766778889230344,1.8766778889230344,3.753355777846069,0,1,0,0,0,0,False,True,False,False,False,False
83,1,0,3,2.270583190394511,2.270583190394511,4.541166380789022,2.035653081657521,2.035653081657521,4.071306163315042,1.8485158335870657,1.8485158335870657,3.6970316671741315,0,0,0,0,1,0,False,False,False,False,True,False
31,0,1,8,1.2683926098906777,1.2683926098906777,2.5367852197813554,2.0407558456546857,2.0407558456546857,4.081511691309371,1.8301890051465435,1.8301890051465435,3.660378010293087,0,0,0,0,1,0,False,False,False,False,True,False
25,0,1,3,1.670096809525492,1.670096809525492,3.340193619050984,2.1598625454065474,2.1598625454065474,4.319725090813095,1.965339171998601,1.965339171998601,3.930678343997202,0,0,0,0,0,0,False,True,False,False,False,False
91,1,0,7,2.529187718616401,2.529187718616401,5.058375437232802,2.0616807272247293,2.0616807272247293,4.123361454449459,2.216905437058842,2.216905437058842,4.433810874117684,0,1,0,0,0,0,False,True,False,False,False,False
91,1,0,18,2.497412265154201,2.497412265154201,4.994824530308402,1.9198602835174932,1.9198602835174932,3.8397205670349863,2.0254839553147796,2.0254839553147796,4.050967910629559,0,0,0,0,1,0,False,False,False,False,True,False
39,0,1,6,1.8593406593406592,1.8593406593406592,3.7186813186813183,1.9131170267742363,1.9131170267742363,3.8262340535484727,1.9743850542158785,1.9743850542158785,3.948770108431757,0,0,0,0,0,0,False,False,False,False,True,False
32,0,1,21,1.4285714285714286,1.4285714285714286,2.857142857142857,2.1577880184331795,2.1577880184331795,4.315576036866359,2.099271932043933,2.099271932043933,4.198543864087866,0,0,0,0,1,0,False,False,False,False,True,False
51,0,1,0,2.036401098901099,2.036401098901099,4.072802197802198,2.1396428571428574,2.1396428571428574,4.279285714285715,2.1497527012747026,2.1497527012747026,4.299505402549405,0,0,0,0,1,0,False,False,False,False,True,False
18,0,1,4,2.2949660633484164,2.2949660633484164,4.589932126696833,1.7725840336134453,1.7725840336134453,3.5451680672268906,1.9171323804190874,1.9171323804190874,3.834264760838175,1,0,0,0,0,0,True,False,False,False,False,False
41,0,1,4,3.192401960784314,3.192401960784314,6.384803921568628,2.5747818358112475,2.5747818358112475,5.149563671622495,2.2473210596643702,2.2473210596643702,4.4946421193287405,0,0,0,0,0,0,False,False,False,False,True,False
81,1,0,31,2.9866092778574846,2.9866092778574846,5.973218555714969,2.8160040282529524,2.8160040282529524,5.632008056505905,2.364560527513594,2.364560527513594,4.729121055027188,0,0,0,0,0,0,False,False,False,False,True,False
86,1,0,3,2.7687443541102077,2.7687443541102077,5.537488708220415,2.5766877889367126,2.5766877889367126,5.153375577873425,2.3672379036849462,2.3672379036849462,4.7344758073698925,0,0,0,0,1,0,False,False,False,False,True,False
83,1,0,15,1.4509148967458667,1.4509148967458667,2.9018297934917334,2.223490114518108,2.223490114518108,4.446980229036216,2.1815664858304826,2.1815664858304826,4.363132971660965,0,0,0,0,1,0,False,False,False,False,True,False
123,1,0,14,1.080653362805226,1.080653362805226,2.161306725610452,2.087416407927038,2.087416407927038,4.174832815854076,1.930000220770242,1.930000220770242,3.860000441540484,0,1,0,0,0,0,False,True,False,False,False,False
50,0,1,114,0.954185431459246,0.954185431459246,1.908370862918492,1.2337578713416721,1.2337578713416721,2.4675157426833443,1.90426985357646,1.90426985357646,3.80853970715292,1,0,0,0,0,0,True,False,False,False,False,False
44,0,1,4,1.2053482221569203,1.2053482221569203,2.4106964443138406,1.1547334810977699,1.1547334810977699,2.3094669621955397,1.9853687546753611,1.9853687546753611,3.9707375093507222,0,0,0,0,0,0,False,False,False,False,True,False
81,1,0,7,1.525720620842572,1.525720620842572,3.051441241685144,1.3416021679664567,1.3416021679664567,2.6832043359329134,1.9591449784515844,1.9591449784515844,3.918289956903169,0,0,0,0,0,0,False,False,False,False,True,False
88,1,0,0,1.6521885521885522,1.6521885521885522,3.3043771043771044,1.3545220646072835,1.3545220646072835,2.709044129214567,1.789006089562696,1.789006089562696,3.578012179125392,0,0,0,0,0,0,False,False,False,False,True,False
64,1,0,8,1.3930976430976434,1.3930976430976434,2.786195286195287,1.34220004927322,1.34220004927322,2.68440009854644,1.7148082286001292,1.7148082286001292,3.4296164572002583,0,0,0,0,0,0,False,False,False,False,True,False
89,1,0,17,1.1800294612794613,1.1800294612794613,2.3600589225589226,1.477108585858586,1.477108585858586,2.954217171717172,1.3554332286001292,1.3554332286001292,2.7108664572002583,1,0,0,0,0,0,True,False,False,False,False,False
48,0,1,84,1.1467377425944842,1.1467377425944842,2.2934754851889685,1.3193557768698216,1.3193557768698216,2.6387115537396433,1.2370446289837957,1.2370446289837957,2.4740892579675915,0,1,0,0,0,0,False,True,False,False,False,False
21,0,1,8,1.4308286516853934,1.4308286516853934,2.861657303370787,1.2852648677789127,1.2852648677789127,2.5705297355578254,1.3134335178726846,1.3134335178726846,2.626867035745369,0,0,0,0,0,0,False,True,False,False,False,False
91,1,0,3,2.390650080256822,2.390650080256822,4.781300160513644,1.9201855026995478,1.9201855026995478,3.8403710053990956,1.6373537836534156,1.6373537836534156,3.274707567306831,0,0,0,0,0,0,False,False,False,False,True,False
40,0,1,20,2.383241758241758,2.383241758241758,4.766483516483516,1.913442245956291,1.913442245956291,3.826884491912582,1.6278211476147555,1.6278211476147555,3.255642295229511,0,0,0,0,0,0,False,False,False,False,True,False
66,1,0,18,2.508241758241758,2.508241758241758,5.016483516483516,2.082192245956291,2.082192245956291,4.164384491912582,1.7796504159074384,1.7796504159074384,3.559300831814877,0,0,0,0,1,0,False,False,False,False,True,False
40,0,1,3,1.5342157842157842,1.5342157842157842,3.0684315684315684,2.152672327672328,2.152672327672328,4.305344655344656,1.7360140522710747,1.7360140522710747,3.4720281045421495,0,0,0,0,1,0,False,False,False,False,True,False
88,1,0,4,1.9545454545454544,1.9545454545454544,3.9090909090909087,2.2276723276723276,2.2276723276723276,4.455344655344655,1.7564685977256205,1.7564685977256205,3.512937195451241,1,0,0,0,0,0,True,False,False,False,False,False
91,1,0,0,1.5454545454545452,1.5454545454545452,3.0909090909090904,1.575074925074925,1.575074925074925,3.15014985014985,1.7476302138872364,1.7476302138872364,3.4952604277744728,1,0,0,0,0,0,True,False,False,False,False,False
91,1,0,25,1.4205794205794204,1.4205794205794204,2.841158841158841,1.575074925074925,1.575074925074925,3.15014985014985,1.7442585855156079,1.7442585855156079,3.4885171710312157,0,0,0,0,0,0,False,False,False,False,True,False
21,0,1,34,1.0002497502497503,1.0002497502497503,2.0004995004995005,1.3228771228771228,1.3228771228771228,2.6457542457542456,1.7025346844167069,1.7025346844167069,3.4050693688334137,0,0,0,0,1,0,False,False,False,False,True,False
67,1,0,8,2.087912087912088,2.087912087912088,4.175824175824176,1.9072927072927073,1.9072927072927073,3.8145854145854146,2.0299825174825172,2.0299825174825172,4.0599650349650345,0,0,0,0,0,0,False,False,False,False,True,False
71,1,0,0,2.206002952271609,2.206002952271609,4.412005904543218,1.7259494237106179,1.7259494237106179,3.4518988474212358,1.9768108756914728,1.9768108756914728,3.9536217513829457,0,0,0,0,0,0,False,False,False,False,True,False
25,0,1,0,2.298867833868885,2.298867833868885,4.59773566773777,1.7749250959257268,1.7749250959257268,3.5498501918514536,1.675000010500326,1.675000010500326,3.350000021000652,0,0,0,0,0,0,False,False,False,False,True,False
45,0,1,13,2.0702964052974564,2.0702964052974564,4.140592810594913,2.2971228981235288,2.2971228981235288,4.5942457962470575,1.9360989115992269,1.9360989115992269,3.8721978231984537,0,1,0,0,0,0,False,True,False,False,False,False
82,1,0,78,2.2892018779342727,2.2892018779342727,4.578403755868545,2.499320700321331,2.499320700321331,4.998641400642662,1.9110989115992267,1.9110989115992267,3.8221978231984535,0,0,0,0,0,0,False,False,False,False,False,True
31,0,1,7,2.2325203252032524,2.2325203252032524,4.465040650406505,1.861690038300425,1.861690038300425,3.72338007660085,1.8844913727965662,1.8844913727965662,3.7689827455931324,0,0,0,0,0,1,False,False,False,False,False,True
90,1,0,0,2.000262260687123,2.000262260687123,4.000524521374246,2.173678483172837,2.173678483172837,4.347356966345674,1.9498139534417276,1.9498139534417276,3.899627906883455,0,0,0,0,0,1,False,False,False,False,False,True
69,1,0,19,1.6669289273537897,1.6669289273537897,3.3338578547075794,2.1201573564122738,2.1201573564122738,4.2403147128245475,1.9475412261690004,1.9475412261690004,3.8950824523380008,0,0,0,0,0,0,False,False,False,False,False,True
20,0,1,4,1.7358578775128564,1.7358578775128564,3.4717157550257127,1.6610269216296651,1.6610269216296651,3.3220538432593303,1.9790749098765967,1.9790749098765967,3.9581498197531935,0,0,0,0,0,0,True,False,False,False,False,False
63,1,0,15,2.2681159420289854,2.2681159420289854,4.536231884057971,2.161026921629665,2.161026921629665,4.32205384325933,2.3301738109754977,2.3301738109754977,4.660347621950995,1,0,0,0,0,0,True,False,False,False,False,False
5,0,1,3,2.410973084886128,2.410973084886128,4.821946169772256,2.2272290122219998,2.2272290122219998,4.4544580244439995,2.0444595252612126,2.0444595252612126,4.088919050522425,0,0,0,0,0,1,False,False,False,False,False,True
40,0,1,0,7.976190476190477,7.976190476190477,15.952380952380954,5.2465838509316765,5.2465838509316765,10.493167701863353,3.710131167052258,3.710131167052258,7.420262334104516,0,0,0,0,0,1,False,False,False,False,False,True
66,1,0,18,7.226190476190477,7.226190476190477,14.452380952380954,5.4965838509316765,5.4965838509316765,10.993167701863353,3.808370603671976,3.808370603671976,7.616741207343952,0,0,0,0,0,0,True,False,False,False,False,False
33,0,1,4,7.204545454545456,7.204545454545456,14.409090909090912,5.508441558441558,5.508441558441558,11.016883116883117,3.584734240035612,3.584734240035612,7.169468480071224,0,0,0,0,0,0,False,False,False,False,False,True
49,0,1,9,2.1136363636363646,2.1136363636363646,4.227272727272729,5.153896103896104,5.153896103896104,10.307792207792208,3.6574615127628847,3.6574615127628847,7.314923025525769,1,0,0,0,0,0,True,False,False,False,False,False
9,0,1,22,1.9758812615955483,1.9758812615955483,3.9517625231910967,5.235528756957328,5.235528756957328,10.471057513914657,3.731378884589664,3.731378884589664,7.462757769179328,1,0,0,0,0,0,True,False,False,False,False,False
22,0,1,0,4.854669140383428,4.854669140383428,9.709338280766856,3.6355287569573287,3.6355287569573287,7.271057513914657,4.441056303944503,4.441056303944503,8.882112607889006,1,0,0,0,0,0,True,False,False,False,False,False
52,0,1,4,5.309214594928882,5.309214594928882,10.618429189857764,4.003710575139147,4.003710575139147,8.007421150278294,4.7501472130354125,4.7501472130354125,9.500294426070825,0,0,0,0,0,0,False,False,False,False,False,True
73,1,0,3,5.273892773892775,5.273892773892775,10.54778554778555,4.07713714856572,4.07713714856572,8.15427429713144,4.792789353503639,4.792789353503639,9.585578707007278,0,0,0,0,0,1,False,False,False,False,False,True
4,0,1,17,2.351518344669031,2.351518344669031,4.703036689338062,3.778257945576928,3.778257945576928,7.556515891153856,4.466077024736515,4.466077024736515,8.93215404947303,0,0,0,0,0,0,False,False,False,False,False,True
76,1,0,0,8.487881981032666,8.487881981032666,16.975763962065333,7.910911006801418,7.910911006801418,15.821822013602835,6.573219881879373,6.573219881879373,13.146439763758746,0,0,0,0,0,0,False,False,False,False,False,True
43,0,1,22,8.305695746214854,8.305695746214854,16.611391492429707,6.147753112064575,6.147753112064575,12.29550622412915,4.891640934510952,4.891640934510952,9.783281869021904,0,0,0,0,0,0,False,False,True,False,False,False
17,0,1,0,8.592411260709916,8.592411260709916,17.184822521419832,5.748175945045548,5.748175945045548,11.496351890091097,4.875943260092347,4.875943260092347,9.751886520184694,0,0,0,0,0,0,False,False,True,False,False,False
53,0,1,3,2.857117143062857,2.857117143062857,5.714234286125714,6.460845628303465,6.460845628303465,12.92169125660693,5.268991388434594,5.268991388434594,10.537982776869187,0,0,0,0,0,0,False,False,False,True,False,False
42,0,1,7,3.02841803680665,3.02841803680665,6.0568360736133,6.553892927347147,6.553892927347147,13.107785854694294,5.166075436462037,5.166075436462037,10.332150872924075,0,0,0,0,0,1,False,False,False,False,False,True
57,0,1,0,3.0450293324877133,3.0450293324877133,6.090058664975427,2.4824643559185757,2.4824643559185757,4.9649287118371515,5.196687681359997,5.196687681359997,10.393375362719993,0,0,0,0,0,1,False,False,False,False,False,True
73,1,0,0,1.8066392396084563,1.8066392396084563,3.6132784792169126,2.561411724339629,2.561411724339629,5.122823448679258,4.354582418202102,4.354582418202102,8.709164836404204,0,0,0,0,0,1,False,False,False,False,False,True
83,1,0,0,1.651560407868989,1.651560407868989,3.303120815737978,2.389382415642591,2.389382415642591,4.778764831285182,4.06877918034407,4.06877918034407,8.13755836068814,0,0,0,0,0,1,False,False,False,False,False,True
